Codice Articolo Fornitore2222;Unita di Misura;Prezzo;Data Inizio Validita;Sconto 1;Sconto 2;Sconto 3;Sconto 4;Sconto 5;Sconto 6
37813;CZ;366,7;10/06/23;;;;;;
38883;CZ;357;10/06/23;;;;;;
40335;Pz;4,5;10/06/23;;;;;;
47187;Pz;5,02;10/06/23;;;;;;
47189;Pz;12,2;10/06/23;;;;;;
50144;Pz;5,31;10/06/23;;;;;;
58812;CZ;1,42;10/06/23;;;;;;
71031;CZ;1,31;10/06/23;;;;;;
76864;CZ;1,64;10/06/23;;;;;;
92495;Pz;3,49;10/06/23;;;;;;
82614;CZ;200,8;10/06/23;;;;;;
98179;CZ;0,75;10/06/23;;;;;;
85469;CZ;4,88;10/06/23;;;;;;
85470;CZ;8,46;10/06/23;;;;;;
90007;Pz;3,38;10/06/23;;;;;;
69285;CZ;0,98;10/06/23;;;;;;
69286;CZ;1,4;10/06/23;;;;;;
88265;CZ;7,73;10/06/23;;;;;;
73286;Pz;3,24;10/06/23;;;;;;
87981;CZ;6,79;10/06/23;;;;;;
87982;CZ;8,78;10/06/23;;;;;;
88419;Pz;7,51;10/06/23;;;;;;
88420;Pz;4,52;10/06/23;;;;;;
88421;CZ;2,06;10/06/23;;;;;;
88422;CZ;5,77;10/06/23;;;;;;
88519;CZ;5,92;10/06/23;;;;;;
88520;Pz;3,53;10/06/23;;;;;;
88521;CZ;1,5;10/06/23;;;;;;
88522;CZ;1,74;10/06/23;;;;;;
62768;Pz;4,07;10/06/23;;;;;;
79810;Pz;51,5;10/06/23;;;;;;
79811;Pz;64;10/06/23;;;;;;
85985;Pz;8,73;10/06/23;;;;;;
85986;Pz;9,97;10/06/23;;;;;;
85988;Pz;21,7;10/06/23;;;;;;
85989;Pz;23,2;10/06/23;;;;;;
85990;Pz;54,7;10/06/23;;;;;;
50030;CZ;43,1;10/06/23;;;;;;
82131;Pz;0,453;10/06/23;;;;;;
82132;Pz;0,53;10/06/23;;;;;;
82133;Pz;1,08;10/06/23;;;;;;
82134;Pz;0,472;10/06/23;;;;;;
82135;Pz;0,54;10/06/23;;;;;;
82136;Pz;0,63;10/06/23;;;;;;
82137;Pz;0,97;10/06/23;;;;;;
82138;Pz;2,46;10/06/23;;;;;;
82139;Pz;2,04;10/06/23;;;;;;
82140;Pz;2,04;10/06/23;;;;;;
304;Pz;1,73;10/06/23;;;;;;
305;Pz;3,28;10/06/23;;;;;;
10141;Pz;2,97;10/06/23;;;;;;
14958;Pz;2,65;10/06/23;;;;;;
14959;Pz;2,73;10/06/23;;;;;;
14960;Pz;2,95;10/06/23;;;;;;
14962;Pz;0,53;10/06/23;;;;;;
14964;Pz;23,4;10/06/23;;;;;;
14965;Pz;23,4;10/06/23;;;;;;
14966;Pz;3,18;10/06/23;;;;;;
14967;Pz;2,39;10/06/23;;;;;;
14968;Pz;0,73;10/06/23;;;;;;
14969;Pz;0,67;10/06/23;;;;;;
14970;Pz;0,63;10/06/23;;;;;;
14971;Pz;2,1;10/06/23;;;;;;
14972;Pz;0,24;10/06/23;;;;;;
14973;Pz;0,479;10/06/23;;;;;;
14976;Pz;0,236;10/06/23;;;;;;
14977;Pz;0,128;10/06/23;;;;;;
14978;Pz;0,109;10/06/23;;;;;;
14979;Pz;0,109;10/06/23;;;;;;
28676;Pz;9,73;10/06/23;;;;;;
30743;Pz;0,163;10/06/23;;;;;;
39417;Pz;3,92;10/06/23;;;;;;
52414;Pz;2,94;10/06/23;;;;;;
52415;Pz;3,45;10/06/23;;;;;;
52416;Pz;0,109;10/06/23;;;;;;
61745;Pz;23,4;10/06/23;;;;;;
61746;Pz;2,89;10/06/23;;;;;;
61747;Pz;2,94;10/06/23;;;;;;
61748;Pz;3,18;10/06/23;;;;;;
61749;Pz;3,45;10/06/23;;;;;;
61750;Pz;7,99;10/06/23;;;;;;
61751;Pz;11;10/06/23;;;;;;
61752;Pz;15;10/06/23;;;;;;
61753;Pz;0,73;10/06/23;;;;;;
65038;Pz;2,5;10/06/23;;;;;;
65039;Pz;2,65;10/06/23;;;;;;
65040;Pz;0,387;10/06/23;;;;;;
65041;Pz;0,419;10/06/23;;;;;;
72755;Pz;2,61;10/06/23;;;;;;
72756;Pz;0,99;10/06/23;;;;;;
72757;Pz;1,28;10/06/23;;;;;;
72758;Pz;1,61;10/06/23;;;;;;
72759;Pz;2,21;10/06/23;;;;;;
90133;Pz;3,97;10/06/23;;;;;;
90511;Pz;5,19;10/06/23;;;;;;
90512;Pz;7,14;10/06/23;;;;;;
90536;Pz;0,128;10/06/23;;;;;;
91005;Pz;2,55;10/06/23;;;;;;
91006;Pz;2,73;10/06/23;;;;;;
91007;Pz;2,95;10/06/23;;;;;;
91722;Pz;0,5;10/06/23;;;;;;
61645;Pz;24,5;10/06/23;;;;;;
61646;Pz;25,9;10/06/23;;;;;;
61647;Pz;29,1;10/06/23;;;;;;
64374;Pz;3,8;10/06/23;;;;;;
68351;Pz;3,17;10/06/23;;;;;;
87357;Pz;2,72;10/06/23;;;;;;
35893;Pz;5,76;10/06/23;;;;;;
73804;Pz;13,5;10/06/23;;;;;;
37838;Pz;3,62;10/06/23;;;;;;
37839;Pz;3,7;10/06/23;;;;;;
37840;Pz;3,92;10/06/23;;;;;;
37841;Pz;4,94;10/06/23;;;;;;
37843;CZ;2,46;10/06/23;;;;;;
37844;Pz;2,24;10/06/23;;;;;;
37845;Pz;4,04;10/06/23;;;;;;
37846;Pz;3,25;10/06/23;;;;;;
37847;Pz;1,49;10/06/23;;;;;;
37848;CZ;2,29;10/06/23;;;;;;
37849;CZ;2,2;10/06/23;;;;;;
37850;Pz;2,86;10/06/23;;;;;;
37851;CZ;2,81;10/06/23;;;;;;
37852;CZ;1,82;10/06/23;;;;;;
37853;CZ;1,28;10/06/23;;;;;;
37858;Pz;6,36;10/06/23;;;;;;
41253;CZ;2,4;10/06/23;;;;;;
41254;CZ;1,86;10/06/23;;;;;;
41255;CZ;1,86;10/06/23;;;;;;
41256;CZ;1,89;10/06/23;;;;;;
54279;Pz;3,42;10/06/23;;;;;;
54280;CZ;2,45;10/06/23;;;;;;
54281;CZ;1,37;10/06/23;;;;;;
54282;CZ;1,94;10/06/23;;;;;;
61701;Pz;3,88;10/06/23;;;;;;
61702;Pz;4,39;10/06/23;;;;;;
61703;Pz;4,74;10/06/23;;;;;;
75653;Pz;3,37;10/06/23;;;;;;
75654;Pz;3,52;10/06/23;;;;;;
75655;CZ;2,12;10/06/23;;;;;;
75656;CZ;2,21;10/06/23;;;;;;
75657;Pz;3,48;10/06/23;;;;;;
75658;Pz;1,89;10/06/23;;;;;;
75659;Pz;2,18;10/06/23;;;;;;
75660;Pz;3,25;10/06/23;;;;;;
75661;Pz;3,76;10/06/23;;;;;;
75662;Pz;3,89;10/06/23;;;;;;
75663;Pz;4,13;10/06/23;;;;;;
75664;Pz;4,4;10/06/23;;;;;;
75665;Pz;1,52;10/06/23;;;;;;
78522;Pz;14,4;10/06/23;;;;;;
82667;CZ;1,86;10/06/23;;;;;;
88322;CZ;1,7;10/06/23;;;;;;
88323;CZ;1,89;10/06/23;;;;;;
98777;Pz;3,7;10/06/23;;;;;;
98778;Pz;3,92;10/06/23;;;;;;
68680;CZ;1,71;10/06/23;;;;;;
127;Pz;14,9;10/06/23;;;;;;
84094;Pz;6,52;10/06/23;;;;;;
84095;Pz;5,92;10/06/23;;;;;;
84096;Pz;6,52;10/06/23;;;;;;
84097;Pz;3,89;10/06/23;;;;;;
84098;Pz;5,32;10/06/23;;;;;;
767;CZ;0,309;10/06/23;;;;;;
768;CZ;0,351;10/06/23;;;;;;
769;CZ;0,54;10/06/23;;;;;;
770;CZ;0,64;10/06/23;;;;;;
77103;Pz;4,41;10/06/23;;;;;;
77104;Pz;3,72;10/06/23;;;;;;
77105;Pz;5,55;10/06/23;;;;;;
93777;Pz;4,39;10/06/23;;;;;;
93778;Pz;14,7;10/06/23;;;;;;
93779;Pz;2,8;10/06/23;;;;;;
93780;Pz;3,53;10/06/23;;;;;;
93781;CZ;6,77;10/06/23;;;;;;
93782;CZ;13,6;10/06/23;;;;;;
93784;CZ;33,6;10/06/23;;;;;;
68495;Pz;13,7;10/06/23;;;;;;
48299;Pz;1,3;10/06/23;;;;;;
702;CZ;1,09;10/06/23;;;;;;
56946;CZ;1,17;10/06/23;;;;;;
57176;CZ;8,59;10/06/23;;;;;;
72721;Pz;5,68;10/06/23;;;;;;
80470;CZ;4,13;10/06/23;;;;;;
87790;Pz;8,31;10/06/23;;;;;;
88523;CZ;1,74;10/06/23;;;;;;
84596;CZ;23,8;10/06/23;;;;;;
84597;Pz;5,1;10/06/23;;;;;;
84598;Pz;5,1;10/06/23;;;;;;
84599;Pz;5,1;10/06/23;;;;;;
88723;Pz;23,6;10/06/23;;;;;;
88724;Pz;25,7;10/06/23;;;;;;
88725;CZ;3,04;10/06/23;;;;;;
88726;Pz;22,2;10/06/23;;;;;;
88727;CZ;31,1;10/06/23;;;;;;
88728;Pz;10,5;10/06/23;;;;;;
88729;Pz;9,3;10/06/23;;;;;;
88730;CZ;2,61;10/06/23;;;;;;
88731;Pz;6,77;10/06/23;;;;;;
88732;Pz;7,82;10/06/23;;;;;;
88733;CZ;9,27;10/06/23;;;;;;
6879;Pz;6,95;10/06/23;;;;;;
50437;Pz;29,8;10/06/23;;;;;;
55430;Pz;1,82;10/06/23;;;;;;
55431;Pz;2,67;10/06/23;;;;;;
13736;Pz;15,8;10/06/23;;;;;;
6834;Pz;3,6;10/06/23;;;;;;
6835;Pz;3,77;10/06/23;;;;;;
8390;Pz;3,6;10/06/23;;;;;;
13733;Pz;20,4;10/06/23;;;;;;
13737;Pz;6,67;10/06/23;;;;;;
61669;Pz;16,1;10/06/23;;;;;;
61670;Pz;26,7;10/06/23;;;;;;
61671;CZ;25;10/06/23;;;;;;
61672;Pz;20,6;10/06/23;;;;;;
64675;Pz;34,4;10/06/23;;;;;;
64676;Pz;18;10/06/23;;;;;;
64677;Pz;12,9;10/06/23;;;;;;
64678;CZ;11,8;10/06/23;;;;;;
64679;Pz;30,5;10/06/23;;;;;;
64750;Pz;4,28;10/06/23;;;;;;
64751;Pz;2,57;10/06/23;;;;;;
70322;Pz;4,96;10/06/23;;;;;;
70323;Pz;7,53;10/06/23;;;;;;
70324;Pz;4,28;10/06/23;;;;;;
70325;Pz;8,55;10/06/23;;;;;;
70326;Pz;3,6;10/06/23;;;;;;
72660;Pz;92,2;10/06/23;;;;;;
86354;Pz;418,5;10/06/23;;;;;;
86355;Pz;780,9;10/06/23;;;;;;
86356;Pz;273,1;10/06/23;;;;;;
86357;Pz;93,4;10/06/23;;;;;;
86358;Pz;37,5;10/06/23;;;;;;
86359;Pz;77,3;10/06/23;;;;;;
86360;Pz;29,2;10/06/23;;;;;;
86361;Pz;11,3;10/06/23;;;;;;
86362;Pz;20,3;10/06/23;;;;;;
98365;Pz;1,93;10/06/23;;;;;;
98367;Pz;2,22;10/06/23;;;;;;
98368;Pz;1,23;10/06/23;;;;;;
70087;Pz;4,13;10/06/23;;;;;;
70088;Pz;5,26;10/06/23;;;;;;
70089;Pz;7,87;10/06/23;;;;;;
7577;Pz;3,76;10/06/23;;;;;;
1006;Pz;61,6;10/06/23;;;;;;
3116;Pz;74,9;10/06/23;;;;;;
3117;Pz;85,7;10/06/23;;;;;;
5519;Pz;24,6;10/06/23;;;;;;
5520;Pz;31,9;10/06/23;;;;;;
47040;Pz;3,91;10/06/23;;;;;;
47042;Pz;5,92;10/06/23;;;;;;
55147;Pz;12,1;10/06/23;;;;;;
55148;Pz;15,5;10/06/23;;;;;;
58483;CZ;1,18;10/06/23;;;;;;
58484;Pz;6,24;10/06/23;;;;;;
58486;Pz;39,1;10/06/23;;;;;;
62507;Pz;15,8;10/06/23;;;;;;
70428;Pz;1,61;10/06/23;;;;;;
70429;Pz;12,5;10/06/23;;;;;;
70430;Pz;10,7;10/06/23;;;;;;
70431;Pz;15,3;10/06/23;;;;;;
70432;Pz;29,6;10/06/23;;;;;;
70433;Pz;38,6;10/06/23;;;;;;
72641;Pz;12,1;10/06/23;;;;;;
72642;Pz;41,6;10/06/23;;;;;;
72644;Pz;9,62;10/06/23;;;;;;
74410;Pz;16,3;10/06/23;;;;;;
74411;Pz;38;10/06/23;;;;;;
74412;Pz;44,9;10/06/23;;;;;;
74413;Pz;65,6;10/06/23;;;;;;
74414;Pz;86,2;10/06/23;;;;;;
92971;Pz;2,32;10/06/23;;;;;;
98127;Pz;13,1;10/06/23;;;;;;
98128;Pz;17,4;10/06/23;;;;;;
98393;Pz;8,84;10/06/23;;;;;;
56026;Pz;38,9;10/06/23;;;;;;
47046;Pz;19,4;10/06/23;;;;;;
98129;Pz;6,3;10/06/23;;;;;;
93148;Pz;129,4;10/06/23;;;;;;
96220;Pz;79,7;10/06/23;;;;;;
56479;ROT;188,4;10/06/23;;;;;;
56480;Pz;0,238;10/06/23;;;;;;
98390;Pz;8,8;10/06/23;;;;;;
98392;Pz;25,6;10/06/23;;;;;;
98395;Pz;23,1;10/06/23;;;;;;
88661;Pz;2,28;10/06/23;;;;;;
88662;Pz;2,48;10/06/23;;;;;;
88663;Pz;6,77;10/06/23;;;;;;
19203;Pz;3,29;10/06/23;;;;;;
84056;Pz;27,7;10/06/23;;;;;;
9956;Pz;3,94;10/06/23;;;;;;
35894;Pz;6,02;10/06/23;;;;;;
35907;Pz;19,7;10/06/23;;;;;;
43186;Pz;9,84;10/06/23;;;;;;
51677;Kg;3,26;10/06/23;;;;;;
51678;Kg;3,07;10/06/23;;;;;;
51679;Kg;3;10/06/23;;;;;;
60315;CZ;4,17;10/06/23;;;;;;
74295;CZ;3,07;10/06/23;;;;;;
83264;CZ;1,98;10/06/23;;;;;;
83456;CZ;1,34;10/06/23;;;;;;
83457;CZ;6,25;10/06/23;;;;;;
86079;Pz;4,06;10/06/23;;;;;;
99189;Pz;1,9;10/06/23;;;;;;
99190;Pz;2,86;10/06/23;;;;;;
99195;CZ;3;10/06/23;;;;;;
99199;Pz;4,75;10/06/23;;;;;;
52482;Pz;8,86;10/06/23;;;;;;
19187;Pz;42,6;10/06/23;;;;;;
19189;Pz;5,35;10/06/23;;;;;;
19190;Pz;6,43;10/06/23;;;;;;
19191;Pz;4,16;10/06/23;;;;;;
19192;Pz;7,03;10/06/23;;;;;;
19195;Pz;7,1;10/06/23;;;;;;
19196;Pz;12,6;10/06/23;;;;;;
19197;Pz;14,6;10/06/23;;;;;;
19199;Pz;7,28;10/06/23;;;;;;
19200;Pz;3,67;10/06/23;;;;;;
19201;Pz;0,109;10/06/23;;;;;;
19204;Pz;1,15;10/06/23;;;;;;
22346;Pz;1,13;10/06/23;;;;;;
22347;Pz;2,09;10/06/23;;;;;;
22348;Pz;7,16;10/06/23;;;;;;
22349;Pz;9,53;10/06/23;;;;;;
22352;Pz;5,52;10/06/23;;;;;;
22353;Pz;13,7;10/06/23;;;;;;
22354;Pz;1,95;10/06/23;;;;;;
22355;Pz;3,95;10/06/23;;;;;;
22357;Pz;2,34;10/06/23;;;;;;
22358;Pz;4,16;10/06/23;;;;;;
22360;m;3,09;10/06/23;;;;;;
22361;m;4,61;10/06/23;;;;;;
22362;m;6,49;10/06/23;;;;;;
24171;Pz;1,09;10/06/23;;;;;;
32393;Pz;42,6;10/06/23;;;;;;
40778;Pz;4,35;10/06/23;;;;;;
52336;Pz;0,436;10/06/23;;;;;;
52337;Pz;1,64;10/06/23;;;;;;
52338;Pz;17,7;10/06/23;;;;;;
72666;Pz;52,1;10/06/23;;;;;;
74436;CZ;7,81;10/06/23;;;;;;
99966;Pz;3,76;10/06/23;;;;;;
99967;Pz;3,21;10/06/23;;;;;;
99968;Pz;9,23;10/06/23;;;;;;
11238;Pz;2,24;10/06/23;;;;;;
11239;Pz;2,46;10/06/23;;;;;;
11240;Pz;2,91;10/06/23;;;;;;
13229;Pz;8,79;10/06/23;;;;;;
13230;Pz;8,79;10/06/23;;;;;;
13878;Pz;21,3;10/06/23;;;;;;
14981;Pz;7,25;10/06/23;;;;;;
14982;Pz;8,14;10/06/23;;;;;;
14983;Pz;10,1;10/06/23;;;;;;
14984;Pz;0,394;10/06/23;;;;;;
14985;Pz;3,15;10/06/23;;;;;;
14989;Pz;2,49;10/06/23;;;;;;
14990;Pz;2,49;10/06/23;;;;;;
14991;Pz;13,4;10/06/23;;;;;;
14992;Pz;11,2;10/06/23;;;;;;
14993;Pz;1,21;10/06/23;;;;;;
14994;Pz;1,79;10/06/23;;;;;;
14996;Pz;0,427;10/06/23;;;;;;
18807;Pz;0,403;10/06/23;;;;;;
18808;Pz;0,427;10/06/23;;;;;;
19900;Pz;8,66;10/06/23;;;;;;
19901;Pz;8,88;10/06/23;;;;;;
19902;Pz;13;10/06/23;;;;;;
19903;Pz;8,88;10/06/23;;;;;;
19904;Pz;13;10/06/23;;;;;;
19905;Pz;14,8;10/06/23;;;;;;
19906;Pz;17,8;10/06/23;;;;;;
19907;Pz;11,9;10/06/23;;;;;;
19908;Pz;15,5;10/06/23;;;;;;
22635;Pz;41,9;10/06/23;;;;;;
22636;Pz;24,4;10/06/23;;;;;;
22637;Pz;20,6;10/06/23;;;;;;
22815;Pz;0,72;10/06/23;;;;;;
22816;Pz;0,91;10/06/23;;;;;;
23242;Pz;6,82;10/06/23;;;;;;
23243;Pz;11,4;10/06/23;;;;;;
23244;Pz;12,4;10/06/23;;;;;;
23245;Pz;21,6;10/06/23;;;;;;
23246;Pz;25,1;10/06/23;;;;;;
23247;Pz;44,7;10/06/23;;;;;;
23248;Pz;23,9;10/06/23;;;;;;
23249;Pz;30,8;10/06/23;;;;;;
23250;Pz;19,7;10/06/23;;;;;;
23251;Pz;34,7;10/06/23;;;;;;
23252;Pz;17,9;10/06/23;;;;;;
23253;Pz;22,4;10/06/23;;;;;;
23254;Pz;14,9;10/06/23;;;;;;
23255;Pz;16,3;10/06/23;;;;;;
23256;Pz;5,66;10/06/23;;;;;;
35354;Pz;5,06;10/06/23;;;;;;
35355;Pz;6,6;10/06/23;;;;;;
35356;Pz;16,3;10/06/23;;;;;;
35357;Pz;2,27;10/06/23;;;;;;
35358;Pz;5,19;10/06/23;;;;;;
36192;Pz;7,89;10/06/23;;;;;;
36198;Pz;4,69;10/06/23;;;;;;
36199;Pz;6,8;10/06/23;;;;;;
36200;Pz;6,05;10/06/23;;;;;;
36201;Pz;8,51;10/06/23;;;;;;
36202;Pz;6,49;10/06/23;;;;;;
37338;Pz;17,9;10/06/23;;;;;;
37339;Pz;13,2;10/06/23;;;;;;
40198;Pz;20,3;10/06/23;;;;;;
40199;Pz;15,2;10/06/23;;;;;;
47740;Pz;11,2;10/06/23;;;;;;
51482;Pz;1,9;10/06/23;;;;;;
51483;Pz;0,56;10/06/23;;;;;;
51494;Pz;2,15;10/06/23;;;;;;
51495;Pz;2,54;10/06/23;;;;;;
51496;Pz;1,64;10/06/23;;;;;;
51497;Pz;8,58;10/06/23;;;;;;
51498;Pz;0,386;10/06/23;;;;;;
51499;Pz;0,427;10/06/23;;;;;;
51500;Pz;1,85;10/06/23;;;;;;
51501;Pz;2,87;10/06/23;;;;;;
51502;Pz;8,76;10/06/23;;;;;;
51503;Pz;25,1;10/06/23;;;;;;
51504;Pz;33,7;10/06/23;;;;;;
51505;Pz;49;10/06/23;;;;;;
51506;Pz;25,1;10/06/23;;;;;;
51507;Pz;33,7;10/06/23;;;;;;
51508;Pz;49;10/06/23;;;;;;
51509;Pz;11,4;10/06/23;;;;;;
51510;Pz;10,5;10/06/23;;;;;;
51511;Pz;11,9;10/06/23;;;;;;
51512;Pz;15,5;10/06/23;;;;;;
53627;Pz;68,6;10/06/23;;;;;;
53628;Pz;95,1;10/06/23;;;;;;
53629;Pz;74;10/06/23;;;;;;
56071;Pz;6,64;10/06/23;;;;;;
56547;Pz;19,2;10/06/23;;;;;;
57196;Pz;6,55;10/06/23;;;;;;
57724;Pz;0,49;10/06/23;;;;;;
58375;Pz;21,3;10/06/23;;;;;;
58376;Pz;7,71;10/06/23;;;;;;
58377;Pz;8,47;10/06/23;;;;;;
58378;Pz;10,6;10/06/23;;;;;;
59680;Pz;11,2;10/06/23;;;;;;
59681;Pz;14,6;10/06/23;;;;;;
69682;Pz;7,82;10/06/23;;;;;;
69683;Pz;9,38;10/06/23;;;;;;
74323;Pz;19,4;10/06/23;;;;;;
74324;Pz;28,5;10/06/23;;;;;;
74325;Pz;36,5;10/06/23;;;;;;
95238;Pz;3,53;10/06/23;;;;;;
95239;Pz;6,43;10/06/23;;;;;;
95240;Pz;24,6;10/06/23;;;;;;
95241;Pz;52,9;10/06/23;;;;;;
95242;Pz;19,2;10/06/23;;;;;;
95243;Pz;19,5;10/06/23;;;;;;
95244;Pz;1,17;10/06/23;;;;;;
95245;Pz;9,6;10/06/23;;;;;;
95246;Pz;9,6;10/06/23;;;;;;
95247;Pz;2,45;10/06/23;;;;;;
95248;Pz;18,1;10/06/23;;;;;;
95249;Pz;26,8;10/06/23;;;;;;
95250;Pz;22,1;10/06/23;;;;;;
95251;Pz;22,1;10/06/23;;;;;;
95252;Pz;9,22;10/06/23;;;;;;
95253;Pz;16,8;10/06/23;;;;;;
40433;Pz;7,35;10/06/23;;;;;;
40434;Pz;13;10/06/23;;;;;;
40435;Pz;23,7;10/06/23;;;;;;
40436;Pz;1,14;10/06/23;;;;;;
40437;Pz;11,5;10/06/23;;;;;;
40517;Pz;3;10/06/23;;;;;;
40518;Pz;3;10/06/23;;;;;;
54288;Pz;13,7;10/06/23;;;;;;
54289;Pz;17,5;10/06/23;;;;;;
54290;Pz;10,5;10/06/23;;;;;;
54291;Pz;14,8;10/06/23;;;;;;
54292;Pz;8,44;10/06/23;;;;;;
54293;Pz;9,33;10/06/23;;;;;;
54294;Pz;19,2;10/06/23;;;;;;
54295;Pz;21,6;10/06/23;;;;;;
54296;Pz;26,3;10/06/23;;;;;;
54297;Pz;26,5;10/06/23;;;;;;
54298;Pz;14,3;10/06/23;;;;;;
54299;Pz;16,3;10/06/23;;;;;;
54300;Pz;22;10/06/23;;;;;;
54301;Pz;3,41;10/06/23;;;;;;
54302;Pz;3,8;10/06/23;;;;;;
54303;Pz;2,9;10/06/23;;;;;;
54304;CZ;1,8;10/06/23;;;;;;
54305;CZ;1,9;10/06/23;;;;;;
54306;CZ;4,17;10/06/23;;;;;;
54307;Pz;11,6;10/06/23;;;;;;
54308;Pz;5,29;10/06/23;;;;;;
54309;Pz;6,32;10/06/23;;;;;;
54310;Pz;8,37;10/06/23;;;;;;
54311;Pz;11,8;10/06/23;;;;;;
54312;Pz;3,87;10/06/23;;;;;;
54313;Pz;3,53;10/06/23;;;;;;
54314;Pz;7,48;10/06/23;;;;;;
54315;Pz;9,66;10/06/23;;;;;;
54316;Pz;10,3;10/06/23;;;;;;
54317;Pz;18;10/06/23;;;;;;
54318;Pz;12,8;10/06/23;;;;;;
54319;Pz;2,62;10/06/23;;;;;;
54320;Pz;1,28;10/06/23;;;;;;
54321;CZ;4,25;10/06/23;;;;;;
54322;CZ;4,47;10/06/23;;;;;;
54323;Pz;6,39;10/06/23;;;;;;
54324;Pz;4,26;10/06/23;;;;;;
54325;Pz;7,16;10/06/23;;;;;;
54326;Pz;7,55;10/06/23;;;;;;
54327;Pz;12,3;10/06/23;;;;;;
54328;Pz;13,3;10/06/23;;;;;;
54329;Pz;22,7;10/06/23;;;;;;
54353;Pz;15,8;10/06/23;;;;;;
54354;Pz;12,8;10/06/23;;;;;;
54355;Pz;9,6;10/06/23;;;;;;
54356;Pz;8,69;10/06/23;;;;;;
54357;Pz;2,51;10/06/23;;;;;;
54358;Pz;1,93;10/06/23;;;;;;
54379;Pz;5,98;10/06/23;;;;;;
54380;Pz;8,09;10/06/23;;;;;;
54381;Pz;7,34;10/06/23;;;;;;
54382;Pz;9,85;10/06/23;;;;;;
54383;CZ;1,81;10/06/23;;;;;;
54384;CZ;2,99;10/06/23;;;;;;
54385;CZ;3,37;10/06/23;;;;;;
54386;Pz;2,83;10/06/23;;;;;;
54387;Pz;3,05;10/06/23;;;;;;
54388;Pz;3,5;10/06/23;;;;;;
54389;Pz;7,67;10/06/23;;;;;;
54390;Pz;10,1;10/06/23;;;;;;
54391;Pz;10,5;10/06/23;;;;;;
54392;Pz;14,8;10/06/23;;;;;;
57725;CZ;2,17;10/06/23;;;;;;
61705;Pz;10,4;10/06/23;;;;;;
61706;Pz;13,2;10/06/23;;;;;;
61707;Pz;12,3;10/06/23;;;;;;
61708;Pz;22,7;10/06/23;;;;;;
61709;Pz;8,86;10/06/23;;;;;;
61710;Pz;9,62;10/06/23;;;;;;
61711;Pz;12;10/06/23;;;;;;
61712;Pz;7,84;10/06/23;;;;;;
61713;Pz;9,92;10/06/23;;;;;;
61714;Pz;3,92;10/06/23;;;;;;
75666;CZ;29,4;10/06/23;;;;;;
