conto;denominazione;denominazione_2;email;website;indirizzo;cap;citta;provincia;codice_fiscale;partita_iva;telefono;fax;attivo;accesso;password;ultimo_aggiornamento;token
230100104;ALFA REFRATTARI SRL;NULL;info@alfaovens.com;www.alfaforni.com;VIA BASSANO OSTERIA DELLA FONTANA, 63;3012;ANAGNI;FR;1384530489;867741001;775782201;775782001;A;NULL;NULL;2023-05-29 09:17:32.347;NULL
230100113;VELUX ITALIA SPA;NULL;velux-i@velux.com;www.velux.it;VIA STRA`, 152;37030;COLOGNOLA AI COLLI;VR;3726650157;1337770232;456173666;456150750;A;NULL;NULL;2023-09-14 15:54:11.207;NULL
230100123;ARTESI SRL;NULL;info@artesi.it;www.artesi.it;VIA ANTONIO CARPENE', 4;33070;BRUGNERA;PN;622470938;622470938;434735353;434735373;A;NULL;NULL;2023-09-22 09:30:37.353;NULL
230100125;TEGOLA CANADESE SRL;NULL;info@tegolacanadese.com;www.tegolacanadese.com;VIA DELL`INDUSTRIA, N. 21;31029;VITTORIO VENETO;TV;449930262;449930262;4389111;438911260;A;NULL;NULL;2023-04-19 09:08:37.137;NULL
230100127;STABILPLASTIC SPA;NULL;commerciale@torinoresine.it;www.stabilplastic.it;VIA BENVENUTO CELLINI, 16;21052;BUSTO ARSIZIO;VA;216480129;216480129;331301733;331301516;A;NULL;NULL;2023-07-24 08:44:02.000;NULL
230100132;VETROASFALTO SPA;NULL;info@vetroasfalto.com;www.vetroasfalto.com;VIA GIOVANNI PASCOLI, 3;20060;BASIANO;MI;809240153;809240153;2959831;295983555;A;NULL;NULL;2023-07-26 15:15:58.770;NULL
230100137;KNAUF DI KNAUF SRL SAS;NULL;ordini.nordovest@knauf.com;www.knauf.it;VIA LIVORNESE, 20;56040;CASTELLINA MARITTIMA;PI;50890524;2470860269;50692201;50692301;A;NULL;NULL;2023-02-02 16:00:05.887;NULL
230100141;FIBROTUBI SRL;NULL;fibrotubi@fibrotubi.it;www.fibrotubi.com;VIA PROVINCIALE SUD, 5;42011;BAGNOLO IN PIANO;RE;1236590350;1236590350;522956911;522951606;A;NULL;NULL;2023-09-12 11:49:24.000;NULL
230100148;COOPERATIVA CERAMICA D'IMOLA SOCIETA' COOPERATIVA;NULL;info@ccimola.it;www.ccimola.com;VIALE VITTORIO VENETO, 13;40026;IMOLA;BO;286900378;498281203;542601601;54294745;A;NULL;NULL;2022-12-12 14:40:17.000;NULL
230100159;VOLTECO SPA;NULL;volteco@volteco.it;www.volteco.it;VIA DELLE INDUSTRIE, 47;31050;PONZANO VENETO;TV;1926260264;1926260264;4229663;422966410;A;NULL;NULL;2022-12-12 14:40:17.000;NULL
230100172;SIGMA DI AMBROGIANI SERGIO & C. S.A.S.;NULL;info@sigmaitalia.com;www.sigmaitalia.com;VIA GAGLIANI, 4;47814;BELLARIA-IGEA MARINA;RN;1085360400;1085360400;541330103;541330422;A;NULL;NULL;2023-07-10 10:17:25.110;NULL
230100186;NEWFORM SPA;NULL;infoitalia@newform.it;www.newform-italy.com;VIA MARCONI, 25/A    FRAZIONE VINTEBBIO;13037;SERRAVALLE SESIA;VC;1299930030;1775520024;163452011;163459745;A;NULL;NULL;2023-09-07 16:16:34.820;NULL
230100188;BOXER SRL;NULL;info@boxer.it;www.boxer.it;VIA FERRARI CARAZZOLI, 84;41042;FIORANO MODENESE;MO;1392970362;1392970362;536929811;536845122;A;NULL;NULL;2023-09-05 17:25:40.000;NULL
230100189;OCE SRL;NULL;info@ocesrl.it;www.ocesrl.it;VIA CLAUDIO TREVES, 7;41043;FORMIGINE;MO;1913670368;1913670368;59557133;59558800;A;NULL;NULL;2023-03-02 11:24:40.633;NULL
230100202;LEGNOTRE INDUSTRIALE SRL;NULL;clienti@legnotre.com;www.legnotre.com;VIA DELLA TECNICA, 29/31;36075;MONTECCHIO MAGGIORE;VI;2099750248;2099750248;444499339;444490555;A;NULL;NULL;2023-09-06 16:55:35.027;NULL
230100215;SIVE SPA;NULL;info@sivespa.it;www.sivespa.it;VIA VITTORIO VENETO, 15;20010;BERNATE TICINO;MI;5050930154;5050930154;297259252;297259231;A;NULL;NULL;2023-04-26 11:19:07.370;NULL
230100221;BAGATTINI SRL;NULL;riccardo@vigolorappresentanze.it;www.bagattinipav.com;VIA SELVA, 26/28;24060;ZANDOBBIO;BG;214400160;214400160;35940110;35944409;A;NULL;NULL;2023-09-20 08:35:28.993;NULL
230100225;BISAZZA SPA UNIPERSONALE;NULL;info@bisazza.com;www.bisazza.com;VIALE MILANO, 56;36075;MONTECCHIO MAGGIORE;VI;1948140247;1150510939;444707511;444747600;A;NULL;NULL;2023-03-03 11:42:29.000;NULL
230100230;COEM SPA;NULL;coem@coem.it;www.coem.it;VIA STRADONE SECCHIA, 32;42014;CASTELLARANO;RE;1927780369;1927780369;536993111;536993588;A;NULL;NULL;2023-07-31 14:56:13.917;NULL
230100231;PORCELANOSA SPA;NULL;porcelonsa@porcelanosa.it;www.annavalentidesigner.com;VIALE REGINA PACIS, 210;41049;SASSUOLO;MO;1719680363;1719680363;536996741;536806504;A;NULL;NULL;2023-09-05 17:39:13.000;NULL
230100235;MORGANTI SPA;NULL;kapriol@kapriol.com;www.kapriol.com;VIA SANT'EGIDIO, 12;23900;LECCO;LC;232520130;232520130;341215411;341215401;A;NULL;NULL;2023-09-07 18:14:45.220;NULL
230100267;SACCHI GIUSEPPE SPA;NULL;sacchi@sacchi.it;www.sacchi.it;VIA FILIPPO DA DESIO, 60;20832;DESIO;MB;689730133;689730133;3626351;362635401;A;NULL;NULL;2023-04-11 10:57:30.000;NULL
230100285;CERAMICHE CAESAR SPA;NULL;info@caesar.it;www.caesar.it;VIA DEL CANALETTO, 49;41042;FIORANO MODENESE;MO;179660360;179660360;536817111;536817300;A;NULL;NULL;2023-07-31 11:17:59.967;NULL
230100302;KARCHER SPA;NULL;lenoci.mauro@gmail.com;www.kaercher.com;VIALE ALCIDE DE GASPERI, 98/100;20017;RHO;MI;624820122;624820122;240702964;331248110;A;NULL;NULL;2023-09-23 14:57:50.647;NULL
230100315;ONDULINE ITALIA SRL;NULL;mail@onduline.it;it.onduline.com;VIA L.BOCCHERINI, 338;55016;PORCARI;LU;143580462;143580462;58325611;583264582;A;NULL;NULL;2023-05-24 14:43:52.920;NULL
230100316;VAGA SRL;NULL;amministrazione@vagasrl.it;www.va-ga.it;VIALE JENNER, 4;20159;MILANO;MI;1137400188;1137400188;382727111;382729611;A;NULL;NULL;2022-12-12 14:40:18.000;NULL
230100328;FORNACE CALANDRA SRL;NULL;logistica@fornacecalandra.it;www.fornacecalandra.it;CASCINA MOLINO, 28;15038;OTTIGLIO;AL;150800068;150800068;142921433;142921409;A;NULL;NULL;2023-07-14 16:40:20.823;NULL
230100351;TENAX SPA;NULL;daniela.giudici@tenax.net;www.tenax.net;VIA DELL'INDUSTRIA, 17;23897;VIGANO';LC;4866970157;1263300137;3992191;399219290;A;NULL;NULL;2023-09-22 10:27:30.000;NULL
230100369;KERAKOLL SPA;NULL;giampiero.savietto@libero.it;www.kerakoll.com;VIA DELL'ARTIGIANATO, 9;41049;SASSUOLO;MO;1174510360;1174510360;536816511;536816581;A;NULL;NULL;2023-09-11 14:23:10.083;NULL
230100379;PALAZZETTI LELIO SPA;NULL;info@palazzetti.it;palazzetti.it;VIA ROVEREDO, 103;33080;PORCIA;PN;429500937;429500937;434920335;434922355;A;NULL;NULL;2023-09-26 09:28:41.027;NULL
230100386;COMPAB SRL;NULL;info@compabilbagno.it;www.compab.it;VIALE LINO ZANUSSI, 9;33070;BRUGNERA;PN;1274190931;1274190931;434624920;434624679;A;NULL;NULL;2023-09-25 17:51:58.107;NULL
230100411;CAMINETTI MONTEGRAPPA SPA;NULL;info@caminettimontegrappa.it;www.caminettimontegrappa.it;VIA ANNIBALE DA BASSANO, 7/9;36020;POVE DEL GRAPPA;VI;494610249;494610249;424800500;424800590;A;NULL;NULL;2023-09-14 11:16:30.013;NULL
230100412;PROJECT FOR BUILDING SPA;NULL;info@projectforbuilding.com;www.projectforbuilding.com;LOCALITA' FORNACE, ;24050;MORNICO AL SERIO;BG;2385120163;2385120163;354490440;354490752;A;NULL;NULL;2023-03-14 11:48:57.340;NULL
230100440;MONIER SRL  DIVISIONE WIERER;NULL;info@braas.de;www.bmigroup.com;VIA VALLE PUSTERIA, 21;39030;CHIENES;BZ;1238150153;1280280213;474560000;474560530;A;NULL;NULL;2023-08-09 09:43:18.750;NULL
230100449;COMPAGNIA GENERALE TRATTORI SPA;NULL;info@cgt.it;www.cgt.it;VIA PADANA SUPERIORE, 19;20055;VIMODRONE;MI;1674190028;1674190028;2274271;227427554;A;NULL;NULL;2023-05-24 11:21:46.640;NULL
230100455;COMIPONT SPA;NULL;info@comipont.it;www.comipont.it;VIA NICCOLO' TARTAGLIA, 14;25024;LENO;BS;1917730176;664730983;309178909;309038229;A;NULL;NULL;2023-05-15 09:06:19.500;NULL
230100460;MARIO CIRINO POMICINO SPA MANHOLE COVER PRODUCTION;NULL;gec_rappresentanze@libero.it;mcpomicino.it;VIA CAMPO DEI FIORI, 11;80025;CASANDRINO;NA;1304940636;1256021211;817315313;815731764;A;NULL;NULL;2023-07-14 09:46:42.000;NULL
230100464;CELENIT SPA;NULL;marketing@celenit.com;www.celenit.com;VIA BELLINGHIERA, 17;35019;TOMBOLO;PD;211210281;211210281;495993544;495993598;A;NULL;NULL;2022-12-12 14:40:18.000;NULL
230100530;INDUSTRIE COTTO POSSAGNO SPA;NULL;info@cottopossagno.com;www.cottopossagno.com;VIA MOLINETTO, 80;31054;POSSAGNO;TV;3321030268;3321030268;423920777;423920707;A;NULL;NULL;2023-06-29 17:42:24.023;NULL
230100537;DAKOTA ITALIA SPA - non usare;NULL;info@dakotaitalia.com;www.dakotaitalia.com;VICOLO GHIAIA, 5;37122;VERONA;VR;2793330230;2793330230;456284080;456284075;A;NULL;NULL;2023-02-27 08:34:57.000;NULL
230100595;COLOMBO DESIGN SPA;NULL;marketing@colombodesign.it;www.colombodesign.com;VIA BACCANELLO, 20/22;24030;TERNO D'ISOLA;BG;2007010164;2007010164;354949001;354940257;A;NULL;NULL;2023-09-05 17:22:02.000;NULL
230100604;COMACE SRL;NULL;info@comace.it;www.comace.it;VIA DOMENICO MEZZADRA, 10;27054;MONTEBELLO DELLA BATTAGLIA;PV;883520181;883520181;383890209;383890209;A;NULL;NULL;2023-05-04 10:47:25.000;NULL
230100642;TRAFILERIA ZINCHERIA CAVATORTA SPA;NULL;p.ghironi@cavatorta.it;www.cavatorta.it;VIA BAGANZA, 6;43030;CALESTANO;PR;165440348;165440348;521221411;521221414;A;NULL;NULL;2023-08-23 09:24:33.000;NULL
230100659;MIRAGE GRANITO CERAMICO SPA;NULL;info@mirage.it;www.mirage.it;VIA GIARDINI NORD, 225;41026;PAVULLO NEL FRIGNANO;MO;175990365;175990365;536329311;53621065;A;NULL;NULL;2023-08-28 16:26:47.497;NULL
230100664;NINZ SPA;NULL;info@ninz.it;www.ninz.it;CORSO TRENTO, 2/A;38061;ALA;TN;1566290225;1566290225;464678300;464679025;A;NULL;NULL;2023-09-25 17:10:10.000;NULL
230100684;CERAMICHE ATLAS CONCORDE SPA;NULL;info@atlasconcorde.it;www.atlasconcorde.com;VIA DEL CANALETTO, 141;41042;FIORANO MODENESE;MO;1282550365;1282550365;536867811;536867985;A;NULL;NULL;2023-09-20 17:17:24.547;NULL
230100710;FAS FUNI ED ATTREZZATURE PER SOLLEVAMENTO SPA;NULL;info@fasitaly.com;www.fasitaly.com;VIA DEI LAVORATORI, 118/120;20092;CINISELLO BALSAMO;MI;5854380150;5854380150;26124951;266040192;A;NULL;NULL;2023-09-26 14:24:59.920;NULL
230100721;DHL EXPRESS (ITALY) SRL;NULL;webmaster@dhl.it;www.dhl.it;VIA LOMBARDIA, 2/A;20068;PESCHIERA BORROMEO;MI;4209680158;4209680158;2822891;332523148;A;NULL;NULL;2023-08-07 18:54:58.000;NULL
230100739;RIWEGA SRL;NULL;info@riwega.com;www.riwega.com;VIA ISOLA DI SOPRA, 28;39044;EGNA;BZ;1694780212;1694780212;471827500;471827555;A;NULL;NULL;2023-04-11 08:23:13.830;NULL
230100755;BIEMMEDUE SPA;NULL;bm2@biemmedue.com;biemmedue.com;VIA INDUSTRIA, 12;12062;CHERASCO;CN;661020040;661020040;172486111;172488270;A;NULL;NULL;2023-04-19 11:31:38.000;NULL
230100757;INDEX CONSTRUCTION SYSTEMS AND PRODUCTS SPA;NULL;index@index-spa.it;www.index-spa.com;VIA G. ROSSINI, 22;37060;CASTEL D`AZZANO;VR;750510232;750510232;45512233;45518390;A;NULL;NULL;2023-07-31 09:54:55.017;NULL
230100766;CALLONI S.R.L.;NULL;info@calloni.it;www.calloni.it;VIA LEVATI, 7;20863;CONCOREZZO;MB;28687200968;2868720968;396040987;396040860;A;NULL;NULL;2023-02-07 18:11:44.033;NULL
230100772;WIENERBERGER SPA;NULL;wzi.brunori@imolanet.com;www.commissionariaedile.it;VIA RINGHIERA, 1;40027;MORDANO;BO;82001290392;707731204;54251141;54251143;A;NULL;NULL;2022-12-23 10:59:55.260;NULL
230100782;ITALIANA CORRUGATI SPA;NULL;lori.mag8@gmail.com;www.tubi.net;LOCALITA' FONTE DEL DOGLIO, 22/E;61026;PIANDIMELETO;PU;1352900417;1352900417;72272221;722726076;A;NULL;NULL;2023-09-12 11:10:55.270;NULL
230100836;GEOPIETRA  SRL;NULL;info@geopietra.it;www.geopietra.it;VIA DELLA FERROVIA, 74/E;25085;GAVARDO;BS;1774300980;1774300980;365331411;36534142;A;NULL;NULL;2023-07-04 17:06:31.070;NULL
230100886;TECNOSUGHERI SRL;NULL;info@tecnosugheri.it;www.tecnosugheri.it;VIA PRIVATA GOITO, 7;20037;PADERNO DUGNANO;MI;13147100153;13147100153;299500134;299485201;A;NULL;NULL;2023-02-10 11:14:43.000;NULL
230100904;NOVELLINI SPA;NULL;info@novellini.com;www.novellini.it;VIA MANTOVA 1023,;46034;BORGO VIRGILIO;MN;690100201;690100201;3766421;376642450;A;NULL;NULL;2023-09-20 17:42:16.130;NULL
230100918;MAKITA SPA;NULL;marketing@makita.it;www.dolmar.it;PIAZZA FILIPPO MEDA, 5;20100;MILANO;MI;1827320159;1827320159;1827320150;331421580;A;NULL;NULL;2023-06-05 15:01:10.473;NULL
230100920;GEOPLAST SPA;NULL;info@geoplastglobal.com;www.geoplastglobal.com;VIA MARTIRI DELLA LIBERTA', 6/8;35010;GRANTORTO;PD;3285310284;3285310284;499490289;499494028;A;NULL;NULL;2023-05-10 11:36:59.150;NULL
230100941;BUFFOLI LEGNAMI SRL;NULL;commerciale@buffoli-legnami.com;buffoli-legnami.com;VIA PROVINCIALE, 52;25079;VOBARNO;BS;2021660986;2021660986;365482055;365597899;A;NULL;NULL;2023-04-27 11:53:24.000;NULL
230100961;FASSA SRL;NULL;fassa@fassabortolo.com;www.fassabortolo.com;VIA LAZZARIS, 3;31027;SPRESIANO;TV;2015890268;2015890268;4227222;422887509;A;NULL;NULL;2023-09-26 09:40:15.947;NULL
230100963;FACAL SRL;NULL;info@facalscale.it;www.facalscale.it;VIA GIUSEPPE DI VITTORIO, 42;46045;MARMIROLO;MN;386490205;386490205;376467894;376467894;A;NULL;NULL;2023-09-12 11:48:49.000;NULL
230100965;GRUPPO ROMANI SPA;NULL;info@serenissimacir.it;www.grupporomanispa.com;VIA ALESSANDRO VOLTA, 9/23 25;42013;CASALGRANDE;RE;3028130361;3028130361;522998474;522999515;A;NULL;NULL;2023-09-21 14:27:33.613;NULL
230100971;FISCHER ITALIA SRL;NULL;sercli@fischeritalia.it;www.fischeritalia.it;CORSO STATI UNITI, 25;35127;PADOVA;PD;3322990288;3322990288;800844078;498063401;A;NULL;NULL;2023-09-11 16:32:54.190;NULL
230100994;F.B.M. FORNACI BRIZIARELLI MARSCIANO SPA;NULL;export@fbm.it;www.fbm.it;VIA VENTIQUATTRO MAGGIO, 1;6055;MARSCIANO;PG;297430548;297430548;758744727;758746206;A;NULL;NULL;2023-07-26 09:10:07.427;NULL
230100995;STIFERITE SPA;NULL;info@stiferite.com;www.stiferite.com;VIALE DELLA NAVIGAZIONE INTERNA, 54 INT.5;35129;PADOVA;PD;3647120280;3647120280;498997911;49774727;A;NULL;NULL;2023-07-25 15:46:13.763;NULL
230101027;HIKOKI POWER TOOLS ITALIA SPA;NULL;info@hikoki-powertools.it;www.hikoki-powertools.it;VIA PIAVE, 35;36077;ALTAVILLA VICENTINA;VI;2072530344;2948190240;444548156;444548110;A;NULL;NULL;2023-09-23 15:52:08.460;NULL
230101029;SIMA CERAMICHE SRL;NULL;info@simagres.com;www.simagres.com;VIA PER VIGNOLA, 37;41053;MARANELLO;MO;2730440365;2730440365;0536941173-941509;536940727;A;NULL;NULL;2023-03-01 11:26:46.983;NULL
230101034;INDUSTRIE POLIECO-M.P.B. SRL;NULL;commerciale@torinoresine.it;www.mpb.it;VIA ENRICO MATTEI, 49;25046;CAZZAGO SAN MARTINO;BS;873510176;584520985;307241521;307721928;A;NULL;NULL;2023-09-20 17:52:40.130;NULL
230101040;LATERLITE SPA;NULL;berzero@live.it;www.leca.it;VIA VITTORIO VENETO, 30;43046;SOLIGNANO;PR;2193140346;2193140346;525419811;525419988;A;NULL;NULL;2023-09-19 09:53:17.770;NULL
230101055;GAMMA PENNELLI SPA;NULL;info@gammapennelli.com;www.gammapennelli.com;VIA MEDESINE, 39;26041;CASALMAGGIORE;CR;1962920201;1962920201;375790220;375790240;A;NULL;NULL;2022-12-12 14:40:19.000;NULL
230101089;GOLD ART CERAMICA SPA;NULL;goldart@goldartcer.com;www.goldartcer.com;VIA GIARDINI NORD, 231/233;41026;PAVULLO;MO;1193200357;1721890364;536301711;53622037;A;NULL;NULL;2023-09-25 10:59:57.487;NULL
230101094;NORD RESINE SPA;NULL;amministrazione@nordresine.com;www.nordresine.com;VIA FORNACE VECCHIA, 79;31058;SUSEGANA;TV;8213170585;2169750268;438437511;438439035;A;NULL;NULL;2023-05-30 14:28:49.000;NULL
230101174;VIVATERRA SPA;NULL;info@vivaterra.it;www.vivaterra.it;VIA DI MELETO, 4/6;50022;GREVE IN CHIANTI;FI;1675480485;1675480485;558590352;05585864.54;A;NULL;NULL;2023-02-10 14:46:55.000;NULL
230101253;EDILBOX SRL;NULL;info@rossieghio.it;www.fabbromeccanicaedilbox.it;VIA BORGHETTO, 21;46043;CASTIGLIONE DELLE STIVIERE;MN;602870206;602870206;376639557;376636682;A;NULL;NULL;2023-03-31 15:23:19.000;NULL
230101265;MASPE SRL;NULL;info@maspe.com;www.maspe.com;VIA BALBI, 20;36022;CASSOLA;VI;1777400241;1777400241;424533082;424533294;A;NULL;NULL;2023-01-24 17:23:41.000;NULL
230101288;OPERA GROUP SRL;NULL;info@ceramicaopera.it;no sito;VIA MARTINELLA, 74;41053;MARANELLO;MO;2860070362;2860070362;536934811;536934820;A;NULL;NULL;2023-03-31 15:55:43.693;NULL
230101311;HIDRA CERAMICA SRL;NULL;info@hidraceramica.it;www.hidra.it;VIA RIO MAGGIORE, SNC;1033;CIVITA CASTELLANA;VT;62090568;62090568;761518181;761517133;A;NULL;NULL;2023-04-07 10:29:46.000;NULL
230101325;GRUPPO ARMONIE SPA;NULL;info@gruppoarmonie.com;www.gruppoarmonie.com;STRADA STATALE 467, 136;42013;CASALGRANDE;RE;2746080361;2746080361;536823203;536889511;A;NULL;NULL;2023-09-20 11:19:19.950;NULL
230101348;FORNACE LATERIZI VARDANEGA ISIDORO SRL;NULL;info@vardanegaisidoro.it;www.vardanegaisidoro.it;VIA OLIVI, 71;31054;POSSAGNO;TV;3000480248;3000480248;423920011;423544580;A;NULL;NULL;2023-06-29 17:54:26.010;NULL
230101494;NAVELLO SRL;NULL;info@navello.it;navello.it;LOCALITA' CHIABOTTI REA, 9;12060;MONCHIERO;CN;181690041;181690041;173792010;173792011;A;NULL;NULL;2023-09-07 11:02:54.267;NULL
230101532;OML SRL;NULL;info@oml.it;www.oml.it;VIA GIOVANNI BATTISTA FATTORI, 57/59;42044;GUALTIERI;RE;1074140359;1074140359;522828798;522828355;A;NULL;NULL;2023-05-24 17:14:49.940;NULL
230101545;TECNARIA SPA;NULL;info@tecnaria.com;tecnaria.com;VIALE PECORI GIRALDI, 55;36061;BASSANO DEL GRAPPA;VI;1277680243;1277680243;424503011;424502386;A;NULL;NULL;2023-07-19 11:31:38.083;NULL
230101609;KNAUF INSULATION SPA;NULL;info@farolombardia.it;www.knaufinsulation.it;VIA FONTANINO, 12;10090;SAN RAFFAELE CIMENA;TO;258250059;258250059;119884073;119119655;A;NULL;NULL;2023-07-11 08:24:12.617;NULL
230101638;GRUPPO BARDELLI SPA;NULL;info@altaeco.com;www.altaeco.com;VIA GIOVANNI PASCOLI, 4/6;20009;VITTUONE;MI;9965410153;9965410153;290251844;422814026;A;NULL;NULL;2023-09-15 10:43:01.000;NULL
230101674;K.A.M. ARREDO GIARDINI SRL;NULL;info@kam-italia.it;www.kam-italia.it;VIA ENRICO FERMI, 2;24036;PONTE SAN PIETRO;BG;3152410167;3152410167;35463223;35463881;A;NULL;NULL;2023-05-11 08:25:22.213;NULL
230101730;GRANDINETTI SRL;NULL;grandinetti@grandinetti.it;www.grandinetti.it;VIA ORAZIO MARZIARIO, 2/4;62027;SAN SEVERINO MARCHE;MC;712900430;712900430;7331776690;7331776690;A;NULL;NULL;2023-02-14 11:14:40.000;NULL
230101735;STAINO & STAINO SRL;NULL;commerciale@stainoestaino.it;www.stainoestaino.it;VIA DANUBIO, 21/23 25;59100;PRATO;PO;1818710970;1818710970;574693938;574637955;A;NULL;NULL;2023-08-11 11:00:06.267;NULL
230101737;AGOPROFIL SPA;NULL;info@agoprofil.com;www.agoprofil.com;REGIONE ROSSI, 1;12060;BELVEDERE LANGHE;CN;1051820049;1051820049;173743003;173797039;A;NULL;NULL;2023-08-11 09:21:52.910;NULL
230101761;PANARIAGROUP INDUSTRIE CERAMICHE SPA;NULL;info@panariagroup.it;www.panariagroup.it;VIA CAMEAZZO, 21;41042;FIORANO MODENESE;MO;1865640369;1865640369;536837811;536830326;A;NULL;NULL;2023-04-27 11:56:33.000;NULL
230101817;BIFIRE SPA;NULL;bifire@bifire.it;www.bifire.it;VIA LAVORATORI AUTOBIANCHI, 1;20832;DESIO;MB;3645510961;3645510961;362368500;362334134;A;NULL;NULL;2023-05-05 18:23:34.033;NULL
230101901;GESSI SPA;NULL;service@gessi.de;www.gessi.com;PARCO GESSI, SNC;13037;SERRAVALLE SESIA;VC;2235360027;2235360027;163454111;163459273;A;NULL;NULL;2023-03-31 15:23:19.000;NULL
230101902;SCRIGNO SPA;NULL;scrigno@scrigno.it;www.scrigno.it;VIA CASALE SANT'ERMETE, 975;47822;SANTARCANGELO DI ROMAGNA;RN;3145720409;3145720409;541757711;541757780;A;NULL;NULL;2023-08-08 17:29:26.340;NULL
230101959;ARTEGRONDA SAS DI BELLEGRANDI DANIELE & C.;NULL;segreteria@artegronda.info;www.artegronda.it;STRADA PROVINCIALE 45/BIS 2,;25020;PONCARALE;BS;2703510988;2703510988;302501547;302500432;A;NULL;NULL;2022-12-12 14:40:21.000;NULL
230101994;UNILIN ITALIA SRL;NULL;info@unilin.it;www.unilinitalia.it;VIA JACOPO LINUSSIO, 52;33100;UDINE;UD;2399050307;2399050307;432522727;432601737;A;NULL;NULL;2023-08-03 17:35:36.897;NULL
230102011;OLIMPIA SPLENDID SPA;NULL;info@olimpiasplendid.it;www.olimpiasplendid.it;VIA GUIDO ROSSA, 1-3;42044;GUALTIERI;RE;260750351;260750351;52222601;522828117;A;NULL;NULL;2022-12-12 14:40:21.000;NULL
230102040;HOLCIM ITALIA SPA;NULL;milcoballari@libero.it;www.holcim.it;VIA ALESSANDRO VOLTA, 1;22046;MERONE;CO;835890153;13438310156;332944211;31616368;A;NULL;NULL;2023-08-04 08:51:16.000;NULL
230102075;EROS SRL;NULL;info@erossrl.it;www.erossrl.it;VIA PIAVE, 4;20039;CANEGRATE;MI;10520330159;10520330159;331403616;331405774;A;NULL;NULL;2023-05-10 14:38:41.000;NULL
230102092;DELTACALOR SRL;NULL;info@deltacalor.com;www.deltacalor.com;VIA MAZZINI SNC;23801;CALOLZIOCORTE;LC;2267610968;2267610968;341644995;341645267;A;NULL;NULL;2023-09-05 17:38:17.000;NULL
230102190;SCARABEO CERAMICHE SRL;NULL;info@scarabeosrl.com;www.scarabeosrl.com;VIA PIAN DEL TRULLO, SNC;1034;FABRICA DI ROMA;VT;107460560;4412451009;761540028;761540286;A;NULL;NULL;2022-12-12 14:40:21.000;NULL
230102205;INSURGO SRL;NULL;info@insurgo.it;www.insurgo.it;VIA DELLA REPUBBLICA, 2;20033;SOLARO;MI;965090194;2613820964;296790300;29691113;A;NULL;NULL;2023-07-04 09:42:44.250;NULL
230102208;GRUPPO SIRONI SRL;NULL;info@grupposironi.com;www.grupposironi.it;VIA ROMA, 2;22060;CARIMATE;CO;4802900961;4802900961;31791912;31791664;A;NULL;NULL;2023-02-01 16:25:55.000;NULL
